query_id,execution_time_ms,query_plan_text
s1,22.917,Aggregate  (cost=2944.89..2944.90 rows=1 width=8) (actual time=22.651..22.653 rows=1 loops=1) |   ->  Hash Join  (cost=1305.12..2745.27 rows=79851 width=0) (actual time=5.692..20.118 rows=79851 loops=1) |         Hash Cond: (b.userid = u.id) |         ->  Seq Scan on badges b  (cost=0.00..1230.51 rows=79851 width=4) (actual time=0.002..3.778 rows=79851 loops=1) |         ->  Hash  (cost=801.06..801.06 rows=40325 width=4) (actual time=5.680..5.681 rows=40325 loops=1) |               Buckets: 65536  Batches: 1  Memory Usage: 1930kB |               ->  Seq Scan on users u  (cost=0.00..801.06 rows=40325 width=4) (actual time=0.002..2.595 rows=40325 loops=1) |                     Filter: (upvotes >= 0) | Planning Time: 0.093 ms | Execution Time: 22.686 ms
s2,650.515,"Finalize Aggregate  (cost=128371.73..128371.74 rows=1 width=8) (actual time=642.395..644.003 rows=1 loops=1) |   ->  Gather  (cost=128371.61..128371.72 rows=1 width=8) (actual time=642.158..643.992 rows=2 loops=1) |         Workers Planned: 1 |         Workers Launched: 1 |         ->  Partial Aggregate  (cost=127371.61..127371.62 rows=1 width=8) (actual time=636.409..636.410 rows=1 loops=2) |               ->  Hash Join  (cost=2425.68..111276.53 rows=6438032 width=0) (actual time=20.255..392.435 rows=5110307 loops=2) |                     Hash Cond: (c.userid = b.userid) |                     ->  Parallel Seq Scan on comments c  (cost=0.00..2625.65 rows=79705 width=4) (actual time=5.292..12.306 rows=67444 loops=2) |                           Filter: (score = 0) |                           Rows Removed by Filter: 19709 |                     ->  Hash  (cost=1430.14..1430.14 rows=79643 width=4) (actual time=14.736..14.736 rows=79633 loops=2) |                           Buckets: 131072  Batches: 1  Memory Usage: 3824kB |                           ->  Seq Scan on badges b  (cost=0.00..1430.14 rows=79643 width=4) (actual time=0.022..6.588 rows=79633 loops=2) |                                 Filter: (date <= '2014-09-11 14:33:06'::timestamp without time zone) |                                 Rows Removed by Filter: 218 | Planning Time: 0.093 ms | JIT: |   Functions: 32 |   Options: Inlining false, Optimization false, Expressions true, Deforming true |   Timing: Generation 0.702 ms, Inlining 0.000 ms, Optimization 0.476 ms, Emission 10.195 ms, Total 11.373 ms | Execution Time: 644.493 ms"
s3,262.545,"Finalize Aggregate  (cost=311916.02..311916.03 rows=1 width=8) (actual time=262.579..262.661 rows=1 loops=1) |   ->  Gather  (cost=311915.91..311916.02 rows=1 width=8) (actual time=262.568..262.654 rows=2 loops=1) |         Workers Planned: 1 |         Workers Launched: 1 |         ->  Partial Aggregate  (cost=310915.91..310915.92 rows=1 width=8) (actual time=173.979..173.980 rows=1 loops=2) |               ->  Merge Join  (cost=19110.96..269085.00 rows=16732362 width=0) (actual time=33.289..138.621 rows=729038 loops=2) |                     Merge Cond: (c.userid = ph.userid) |                     ->  Sort  (cost=9114.59..9313.85 rows=79705 width=4) (actual time=16.575..18.959 rows=66357 loops=2) |                           Sort Key: c.userid |                           Sort Method: quicksort  Memory: 3073kB |                           Worker 0:  Sort Method: quicksort  Memory: 769kB |                           ->  Parallel Seq Scan on comments c  (cost=0.00..2625.65 rows=79705 width=4) (actual time=4.384..11.368 rows=67444 loops=2) |                                 Filter: (score = 0) |                                 Rows Removed by Filter: 19709 |                     ->  Sort  (cost=9297.65..9403.92 rows=42507 width=4) (actual time=16.664..42.298 rows=745581 loops=2) |                           Sort Key: ph.userid |                           Sort Method: quicksort  Memory: 1537kB |                           Worker 0:  Sort Method: quicksort  Memory: 1537kB |                           ->  Seq Scan on posthistory ph  (cost=0.00..6029.84 rows=42507 width=4) (actual time=0.021..12.727 rows=42921 loops=2) |                                 Filter: (posthistorytypeid = 1) |                                 Rows Removed by Filter: 260266 | Planning Time: 0.101 ms | JIT: |   Functions: 32 |   Options: Inlining false, Optimization false, Expressions true, Deforming true |   Timing: Generation 0.615 ms, Inlining 0.000 ms, Optimization 0.423 ms, Emission 8.436 ms, Total 9.474 ms | Execution Time: 263.036 ms"
s4,312.309,"Finalize Aggregate  (cost=390830.38..390830.39 rows=1 width=8) (actual time=406.982..407.053 rows=1 loops=1) |   ->  Gather  (cost=390830.26..390830.37 rows=1 width=8) (actual time=406.973..407.046 rows=2 loops=1) |         Workers Planned: 1 |         Workers Launched: 1 |         ->  Partial Aggregate  (cost=389830.26..389830.27 rows=1 width=8) (actual time=248.683..248.684 rows=1 loops=2) |               ->  Merge Join  (cost=21769.47..337069.99 rows=21104108 width=0) (actual time=40.446..204.169 rows=854890 loops=2) |                     Merge Cond: (c.userid = ph.userid) |                     ->  Sort  (cost=10902.92..11159.25 rows=102532 width=4) (actual time=17.047..28.850 rows=85736 loops=2) |                           Sort Key: c.userid |                           Sort Method: quicksort  Memory: 4096kB |                           Worker 0:  Sort Method: quicksort  Memory: 769kB |                           ->  Parallel Seq Scan on comments c  (cost=0.00..2369.32 rows=102532 width=4) (actual time=4.350..10.100 rows=87152 loops=2) |                     ->  Sort  (cost=9985.88..10090.07 rows=41677 width=4) (actual time=23.330..63.828 rows=871618 loops=2) |                           Sort Key: ph.userid |                           Sort Method: quicksort  Memory: 1537kB |                           Worker 0:  Sort Method: quicksort  Memory: 1537kB |                           ->  Seq Scan on posthistory ph  (cost=0.00..6787.80 rows=41677 width=4) (actual time=0.242..19.234 rows=42308 loops=2) |                                 Filter: ((creationdate >= '2010-09-14 11:59:07'::timestamp without time zone) AND (posthistorytypeid = 1)) |                                 Rows Removed by Filter: 260879 | Planning Time: 0.094 ms | JIT: |   Functions: 28 |   Options: Inlining false, Optimization false, Expressions true, Deforming true |   Timing: Generation 0.719 ms, Inlining 0.000 ms, Optimization 0.392 ms, Emission 8.422 ms, Total 9.533 ms | Execution Time: 407.494 ms"
s5,811.008,"Finalize Aggregate  (cost=121566.62..121566.63 rows=1 width=8) (actual time=846.235..846.333 rows=1 loops=1) |   ->  Gather  (cost=121566.50..121566.61 rows=1 width=8) (actual time=846.225..846.327 rows=2 loops=1) |         Workers Planned: 1 |         Workers Launched: 1 |         ->  Partial Aggregate  (cost=120566.50..120566.51 rows=1 width=8) (actual time=720.235..720.237 rows=1 loops=2) |               ->  Merge Join  (cost=40598.33..109205.20 rows=4544520 width=0) (actual time=47.378..538.166 rows=3745952 loops=2) |                     Merge Cond: (v.userid = c.userid) |                     ->  Sort  (cost=23670.50..24152.94 rows=192979 width=4) (actual time=22.658..23.788 rows=17396 loops=2) |                           Sort Key: v.userid |                           Sort Method: external merge  Disk: 960kB |                           Worker 0:  Sort Method: quicksort  Memory: 3073kB |                           ->  Parallel Seq Scan on votes v  (cost=0.00..4089.79 rows=192979 width=4) (actual time=4.031..14.364 rows=164032 loops=2) |                     ->  Materialize  (cost=16927.69..17605.19 rows=135499 width=4) (actual time=24.660..162.554 rows=3798316 loops=2) |                           ->  Sort  (cost=16927.69..17266.44 rows=135499 width=4) (actual time=24.657..29.618 rows=132704 loops=2) |                                 Sort Key: c.userid |                                 Sort Method: quicksort  Memory: 4096kB |                                 Worker 0:  Sort Method: quicksort  Memory: 4096kB |                                 ->  Seq Scan on comments c  (cost=0.00..3522.81 rows=135499 width=4) (actual time=0.016..14.011 rows=134887 loops=2) |                                       Filter: (score = 0) |                                       Rows Removed by Filter: 39418 | Planning Time: 0.092 ms | JIT: |   Functions: 28 |   Options: Inlining false, Optimization false, Expressions true, Deforming true |   Timing: Generation 0.579 ms, Inlining 0.000 ms, Optimization 0.390 ms, Emission 7.772 ms, Total 8.741 ms | Execution Time: 846.953 ms"
s6,86.166,Aggregate  (cost=39390.55..39390.56 rows=1 width=8) (actual time=86.932..86.934 rows=1 loops=1) |   ->  Merge Join  (cost=13827.96..35768.32 rows=1448892 width=0) (actual time=23.012..72.716 rows=428612 loops=1) |         Merge Cond: (p.owneruserid = b.userid) |         ->  Sort  (cost=5915.73..6021.05 rows=42131 width=4) (actual time=10.434..11.903 rows=41395 loops=1) |               Sort Key: p.owneruserid |               Sort Method: quicksort  Memory: 1537kB |               ->  Seq Scan on posts p  (cost=0.00..2679.52 rows=42131 width=4) (actual time=0.008..6.454 rows=42172 loops=1) |                     Filter: ((answercount >= 0) AND (answercount <= 4) AND (commentcount >= 0) AND (commentcount <= 17)) |                     Rows Removed by Filter: 49804 |         ->  Sort  (cost=7911.81..8110.86 rows=79623 width=4) (actual time=12.569..27.579 rows=443864 loops=1) |               Sort Key: b.userid |               Sort Method: quicksort  Memory: 3073kB |               ->  Seq Scan on badges b  (cost=0.00..1430.14 rows=79623 width=4) (actual time=0.011..4.969 rows=79598 loops=1) |                     Filter: (date <= '2014-09-11 08:55:52'::timestamp without time zone) |                     Rows Removed by Filter: 253 | Planning Time: 0.094 ms | Execution Time: 87.086 ms
s7,72.994,Finalize Aggregate  (cost=82948.21..82948.22 rows=1 width=8) (actual time=72.702..74.148 rows=1 loops=1) |   ->  Gather  (cost=82948.09..82948.20 rows=1 width=8) (actual time=72.382..74.143 rows=2 loops=1) |         Workers Planned: 1 |         Workers Launched: 1 |         ->  Partial Aggregate  (cost=81948.09..81948.10 rows=1 width=8) (actual time=67.320..67.322 rows=1 loops=2) |               ->  Hash Join  (cost=3938.83..72305.76 rows=3856932 width=0) (actual time=24.262..55.990 rows=349651 loops=2) |                     Hash Cond: (c.userid = p.owneruserid) |                     ->  Parallel Seq Scan on comments c  (cost=0.00..2369.32 rows=102532 width=4) (actual time=0.002..4.367 rows=87152 loops=2) |                     ->  Hash  (cost=3802.36..3802.36 rows=10918 width=4) (actual time=24.217..24.219 rows=10826 loops=2) |                           Buckets: 16384  Batches: 1  Memory Usage: 509kB |                           ->  Hash Join  (cost=3580.19..3802.36 rows=10918 width=4) (actual time=20.642..23.277 rows=10972 loops=2) |                                 Hash Cond: (pl.postid = p.id) |                                 ->  Seq Scan on postlinks pl  (cost=0.00..193.02 rows=11102 width=4) (actual time=0.008..0.555 rows=11102 loops=2) |                                 ->  Hash  (cost=2449.58..2449.58 rows=90449 width=8) (actual time=20.550..20.551 rows=90764 loops=2) |                                       Buckets: 131072  Batches: 1  Memory Usage: 4565kB |                                       ->  Seq Scan on posts p  (cost=0.00..2449.58 rows=90449 width=8) (actual time=0.033..9.661 rows=90764 loops=2) |                                             Filter: ((commentcount <= 18) AND (creationdate >= '2010-07-23 07:27:31'::timestamp without time zone) AND (creationdate <= '2014-09-09 01:43:00'::timestamp without time zone)) |                                             Rows Removed by Filter: 1212 | Planning Time: 0.180 ms | Execution Time: 74.206 ms
s8,60.868,Finalize Aggregate  (cost=57539.35..57539.36 rows=1 width=8) (actual time=57.952..59.505 rows=1 loops=1) |   ->  Gather  (cost=57539.24..57539.35 rows=1 width=8) (actual time=57.625..59.500 rows=2 loops=1) |         Workers Planned: 1 |         Workers Launched: 1 |         ->  Partial Aggregate  (cost=56539.24..56539.25 rows=1 width=8) (actual time=52.853..52.856 rows=1 loops=2) |               ->  Hash Join  (cost=3728.31..50168.33 rows=2548364 width=0) (actual time=22.091..45.092 rows=240710 loops=2) |                     Hash Cond: (c.userid = p.owneruserid) |                     ->  Parallel Seq Scan on comments c  (cost=0.00..2625.65 rows=79705 width=4) (actual time=0.004..5.122 rows=67444 loops=2) |                           Filter: (score = 0) |                           Rows Removed by Filter: 19709 |                     ->  Hash  (cost=3612.32..3612.32 rows=9279 width=4) (actual time=22.043..22.045 rows=9324 loops=2) |                           Buckets: 16384  Batches: 1  Memory Usage: 456kB |                           ->  Hash Join  (cost=3338.76..3612.32 rows=9279 width=4) (actual time=18.569..21.163 rows=9405 loops=2) |                                 Hash Cond: (pl.postid = p.id) |                                 ->  Seq Scan on postlinks pl  (cost=0.00..248.53 rows=9533 width=4) (actual time=0.033..0.788 rows=9480 loops=2) |                                       Filter: ((creationdate >= '2011-07-09 22:35:44'::timestamp without time zone) AND (linktypeid = 1)) |                                       Rows Removed by Filter: 1622 |                                 ->  Hash  (cost=2219.64..2219.64 rows=89530 width=8) (actual time=18.447..18.447 rows=89551 loops=2) |                                       Buckets: 131072  Batches: 1  Memory Usage: 4518kB |                                       ->  Seq Scan on posts p  (cost=0.00..2219.64 rows=89530 width=8) (actual time=0.093..8.306 rows=89551 loops=2) |                                             Filter: ((creationdate >= '2010-09-06 00:58:21'::timestamp without time zone) AND (creationdate <= '2014-09-12 10:02:21'::timestamp without time zone)) |                                             Rows Removed by Filter: 2425 | Planning Time: 0.148 ms | Execution Time: 59.555 ms
s9,113.37,Finalize Aggregate  (cost=15813.27..15813.28 rows=1 width=8) (actual time=109.391..110.993 rows=1 loops=1) |   ->  Gather  (cost=15813.16..15813.27 rows=1 width=8) (actual time=108.919..110.988 rows=2 loops=1) |         Workers Planned: 1 |         Workers Launched: 1 |         ->  Partial Aggregate  (cost=14813.16..14813.17 rows=1 width=8) (actual time=104.094..104.096 rows=1 loops=2) |               ->  Parallel Hash Join  (cost=7288.71..13968.47 rows=337878 width=0) (actual time=46.175..92.811 rows=349106 loops=2) |                     Hash Cond: (ph.postid = p.id) |                     ->  Parallel Seq Scan on posthistory ph  (cost=0.00..4023.45 rows=178345 width=4) (actual time=0.003..7.458 rows=151594 loops=2) |                     ->  Parallel Hash  (cost=6007.46..6007.46 rows=102500 width=8) (actual time=45.855..45.857 rows=86704 loops=2) |                           Buckets: 262144  Batches: 1  Memory Usage: 8864kB |                           ->  Hash Join  (cost=3368.98..6007.46 rows=102500 width=8) (actual time=18.187..35.792 rows=86704 loops=2) |                                 Hash Cond: (c.postid = p.id) |                                 ->  Parallel Seq Scan on comments c  (cost=0.00..2369.32 rows=102532 width=4) (actual time=0.002..4.279 rows=87152 loops=2) |                                 ->  Hash  (cost=2219.64..2219.64 rows=91947 width=4) (actual time=18.105..18.105 rows=91948 loops=2) |                                       Buckets: 131072  Batches: 1  Memory Usage: 4257kB |                                       ->  Seq Scan on posts p  (cost=0.00..2219.64 rows=91947 width=4) (actual time=0.006..8.011 rows=91948 loops=2) |                                             Filter: ((commentcount >= 0) AND (commentcount <= 25)) |                                             Rows Removed by Filter: 28 | Planning Time: 0.148 ms | Execution Time: 111.040 ms
s10,65.945,Finalize Aggregate  (cost=13807.91..13807.92 rows=1 width=8) (actual time=64.241..65.705 rows=1 loops=1) |   ->  Gather  (cost=13807.80..13807.91 rows=1 width=8) (actual time=64.011..65.686 rows=2 loops=1) |         Workers Planned: 1 |         Workers Launched: 1 |         ->  Partial Aggregate  (cost=12807.80..12807.81 rows=1 width=8) (actual time=59.536..59.538 rows=1 loops=2) |               ->  Hash Join  (cost=4430.57..7832.16 rows=1990258 width=0) (actual time=14.466..46.859 rows=390342 loops=2) |                     Hash Cond: (c.userid = u.id) |                     ->  Parallel Seq Scan on comments c  (cost=0.00..2881.99 rows=100945 width=4) (actual time=0.024..5.929 rows=86078 loops=2) |                           Filter: ((creationdate >= '2010-08-05 00:36:02'::timestamp without time zone) AND (creationdate <= '2014-09-08 16:50:49'::timestamp without time zone)) |                           Rows Removed by Filter: 1074 |                     ->  Hash  (cost=4358.98..4358.98 rows=5727 width=8) (actual time=14.409..14.411 rows=11630 loops=2) |                           Buckets: 16384 (originally 8192)  Batches: 1 (originally 1)  Memory Usage: 583kB |                           ->  Hash Join  (cost=1204.31..4358.98 rows=5727 width=8) (actual time=5.628..13.310 rows=11630 loops=2) |                                 Hash Cond: (p.owneruserid = u.id) |                                 ->  Seq Scan on posts p  (cost=0.00..3139.40 rows=5816 width=4) (actual time=0.004..5.748 rows=11847 loops=2) |                                       Filter: ((viewcount >= 0) AND (viewcount <= 2897) AND (commentcount >= 0) AND (commentcount <= 16) AND (favoritecount >= 0) AND (favoritecount <= 10)) |                                       Rows Removed by Filter: 80129 |                                 ->  Hash  (cost=700.25..700.25 rows=40325 width=4) (actual time=5.576..5.577 rows=40325 loops=2) |                                       Buckets: 65536  Batches: 1  Memory Usage: 1930kB |                                       ->  Seq Scan on users u  (cost=0.00..700.25 rows=40325 width=4) (actual time=0.003..2.162 rows=40325 loops=2) | Planning Time: 0.156 ms | Execution Time: 65.739 ms
