query_id,recommended_indexes,llm_reasoning_text,execution_time_ms_after,improvement_vs_baseline
s1,CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_users_upvotes ON users(UpVotes);,Join on badges.UserId=users.Id benefits from index on badges.UserId; UpVotes filter uses idx_users_upvotes.,25.272,33.2%
s2,"CREATE INDEX idx_comments_score_userid ON comments(Score, UserId);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_badges_date ON badges(Date);","Filter on comments.Score=0 with join on UserId, and badges.Date range filter are served by these indexes.",660.239,48.9%
s3,"CREATE INDEX idx_comments_score_userid ON comments(Score, UserId);; CREATE INDEX idx_posthistory_posttypeid_userid ON postHistory(PostHistoryTypeId, UserId);",Composite indexes on Score+UserId and PostHistoryTypeId+UserId efficiently support the join and filter conditions.,116.555,67.6%
s4,"CREATE INDEX idx_comments_userid ON comments(UserId);; CREATE INDEX idx_posthistory_posttypeid_userid ON postHistory(PostHistoryTypeId, UserId);; CREATE INDEX idx_posthistory_postid ON postHistory(PostId);",PostHistoryTypeId filter with CreationDate range and UserId join are covered by the composite postHistory index.,151.19,59.7%
s5,"CREATE INDEX idx_comments_score_userid ON comments(Score, UserId);; CREATE INDEX idx_votes_userid ON votes(UserId);",Score=0 filter on comments and join to votes.UserId are efficiently supported by these indexes.,478.307,52.4%
s6,CREATE INDEX idx_badges_date ON badges(Date);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);,Badge date range filter and join between badges.UserId and posts.OwnerUserId benefit from these indexes.,102.267,-6.8%
s7,CREATE INDEX idx_posts_creationdate ON posts(CreationDate);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_postlinks_postid ON postLinks(PostId);; CREATE INDEX idx_comments_userid ON comments(UserId);,Post CreationDate range and joins on OwnerUserId and PostId are all accelerated by these indexes.,134.779,-81.3%
s8,"CREATE INDEX idx_comments_score_userid ON comments(Score, UserId);; CREATE INDEX idx_posts_creationdate ON posts(CreationDate);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_postlinks_postid ON postLinks(PostId);; CREATE INDEX idx_postlinks_linktypeid ON postLinks(LinkTypeId);",Multiple range filters on posts and postLinks with join conditions all benefit from dedicated indexes.,98.997,-80.7%
s9,CREATE INDEX idx_comments_postid ON comments(PostId);; CREATE INDEX idx_posthistory_postid ON postHistory(PostId);,Both joins use PostId to connect to posts; indexes on comments.PostId and postHistory.PostId speed lookups.,111.831,15.7%
s10,CREATE INDEX idx_comments_creationdate ON comments(CreationDate);; CREATE INDEX idx_comments_userid ON comments(UserId);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);,Comment CreationDate range filter and joins on UserId/OwnerUserId benefit from these indexes.,57.932,15.7%
