query_id,query_text,complexity_tier
Q1,SELECT * FROM subscriber WHERE s_id = 55123;,Simple
Q2,"SELECT s_id, bit_1, msc_location FROM subscriber WHERE sub_nbr = '000000000055123';",Simple
Q3,"SELECT data1, data2, data3, data4 FROM access_info WHERE s_id = 55123 AND ai_type = 1;",Simple
Q4,"SELECT is_active, data_a FROM special_facility WHERE s_id = 55123 AND sf_type = 1;",Simple
Q5,SELECT cf.numberx FROM special_facility sf JOIN call_forwarding cf ON sf.s_id = cf.s_id AND sf.sf_type = cf.sf_type WHERE sf.s_id = 55123 AND sf.sf_type = 1 AND sf.is_active = 1 AND cf.start_time <= 8 AND cf.end_time > 8;,Medium
Q6,SELECT COUNT(*) FROM special_facility WHERE is_active = 0 AND sf_type = 2;,Medium
Q7,"SELECT s_id, msc_location FROM subscriber WHERE vlr_location BETWEEN 1000 AND 2000;",Medium
Q8,SELECT s_id FROM subscriber WHERE bit_1 = 1 AND bit_2 = 0 AND s_id < 100;,Simple
Q9,"SELECT start_time, COUNT(*) FROM call_forwarding WHERE start_time = 8 GROUP BY start_time;",Medium
Q10,"SELECT s.vlr_location, COUNT(*) FROM subscriber s JOIN special_facility sf ON s.s_id = sf.s_id WHERE sf.is_active = 1 AND s.bit_1 = 1 GROUP BY s.vlr_location ORDER BY COUNT(*) DESC LIMIT 10;",Complex
Q11,"SELECT s.s_id, COUNT(cf.numberx) FROM subscriber s JOIN special_facility sf ON s.s_id = sf.s_id JOIN call_forwarding cf ON sf.s_id = cf.s_id AND sf.sf_type = cf.sf_type WHERE s.msc_location BETWEEN 1 AND 500 AND sf.is_active = 1 GROUP BY s.s_id ORDER BY COUNT(cf.numberx) DESC LIMIT 10;",Complex
Q12,"SELECT ai.ai_type, AVG(ai.data1) FROM access_info ai JOIN subscriber s ON ai.s_id = s.s_id WHERE s.byte2_1 > 128 GROUP BY ai.ai_type ORDER BY ai.ai_type;",Complex
