query_id,recommended_indexes,llm_reasoning_text,execution_time_ms_after,improvement_vs_baseline
Q1,"CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy, d_date_sk);; CREATE INDEX idx_store_sales_sold_date ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_cdemo ON store_sales(ss_cdemo_sk);; CREATE INDEX idx_store_sales_hdemo ON store_sales(ss_hdemo_sk);; CREATE INDEX idx_store_sales_addr ON store_sales(ss_addr_sk);; CREATE INDEX idx_store_sales_store ON store_sales(ss_store_sk);; CREATE INDEX idx_customer_demographics_marital_education ON customer_demographics(cd_marital_status, cd_education_status, cd_demo_sk);; CREATE INDEX idx_customer_address_state ON customer_address(ca_state, ca_address_sk);; CREATE INDEX idx_household_demographics_dep_count ON household_demographics(hd_dep_count, hd_demo_sk);","Indexes on date filter, store_sales FKs, demographics, and address state accelerate multi-condition joins.",,
Q2,"CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy, d_date_sk);; CREATE INDEX idx_catalog_sales_sold_date ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_catalog_sales_item ON catalog_sales(cs_item_sk);; CREATE INDEX idx_catalog_sales_bill_customer ON catalog_sales(cs_bill_customer_sk);; CREATE INDEX idx_catalog_sales_bill_cdemo ON catalog_sales(cs_bill_cdemo_sk);; CREATE INDEX idx_customer_demographics_marital_education ON customer_demographics(cd_marital_status, cd_education_status, cd_demo_sk);; CREATE INDEX idx_customer_addr ON customer(c_current_addr_sk);; CREATE INDEX idx_customer_birth_month ON customer(c_birth_month);; CREATE INDEX idx_customer_address_state ON customer_address(ca_state, ca_address_sk);; CREATE INDEX idx_item_category ON item(i_category, i_item_sk);","Indexes on catalog_sales FKs, item category, customer birth month, and address state speed up joins and filters.",,
Q3,"CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy, d_date_sk);; CREATE INDEX idx_store_sales_sold_date ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_item ON store_sales(ss_item_sk);; CREATE INDEX idx_store_sales_customer ON store_sales(ss_customer_sk);; CREATE INDEX idx_store_sales_store ON store_sales(ss_store_sk);; CREATE INDEX idx_item_category ON item(i_category, i_item_sk);; CREATE INDEX idx_customer_addr ON customer(c_current_addr_sk);; CREATE INDEX idx_customer_birth_month ON customer(c_birth_month);; CREATE INDEX idx_customer_address_state ON customer_address(ca_state, ca_address_sk);; CREATE INDEX idx_store_state ON store(s_state, s_store_sk);","Indexes on date, store_sales FKs, item category, and customer address enable efficient join and filter execution.",,
Q4,"CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy, d_date_sk);; CREATE INDEX idx_store_sales_sold_date ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_item ON store_sales(ss_item_sk);; CREATE INDEX idx_store_sales_store ON store_sales(ss_store_sk);; CREATE INDEX idx_store_returns_customer_item ON store_returns(sr_customer_sk, sr_item_sk, sr_ticket_number);; CREATE INDEX idx_store_returns_date ON store_returns(sr_returned_date_sk);; CREATE INDEX idx_catalog_sales_sold_date ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_catalog_sales_bill_customer ON catalog_sales(cs_bill_customer_sk);; CREATE INDEX idx_catalog_sales_item ON catalog_sales(cs_item_sk);","Three-way join between store_sales, store_returns, catalog_sales benefits from indexes on all join and date keys.",,
Q5,"CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy, d_date_sk);; CREATE INDEX idx_store_sales_sold_date ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_item ON store_sales(ss_item_sk);; CREATE INDEX idx_store_sales_store ON store_sales(ss_store_sk);; CREATE INDEX idx_store_sales_cdemo ON store_sales(ss_cdemo_sk);; CREATE INDEX idx_customer_demographics_marital_education ON customer_demographics(cd_marital_status, cd_education_status, cd_demo_sk);; CREATE INDEX idx_item_category ON item(i_category, i_item_sk);; CREATE INDEX idx_store_state ON store(s_state, s_store_sk);","Indexes on demographics filter columns, item category, store state, and date support efficient join traversal.",,
Q6,"CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy, d_date_sk);; CREATE INDEX idx_catalog_sales_sold_date ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_catalog_sales_item ON catalog_sales(cs_item_sk);; CREATE INDEX idx_catalog_sales_warehouse ON catalog_sales(cs_warehouse_sk);; CREATE INDEX idx_item_category ON item(i_category, i_item_sk);; CREATE INDEX idx_item_manager ON item(i_manager_id, i_item_sk);","Indexes on catalog_sales date and warehouse keys, plus item category and manager, speed up the date-range join.",,
Q7,"CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy, d_date_sk);; CREATE INDEX idx_store_sales_sold_date ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_store ON store_sales(ss_store_sk);; CREATE INDEX idx_store_returns_customer_item ON store_returns(sr_customer_sk, sr_item_sk, sr_ticket_number);; CREATE INDEX idx_store_returns_date ON store_returns(sr_returned_date_sk);; CREATE INDEX idx_store_state ON store(s_state, s_store_sk);","Indexes on date, store_returns ticket/item join keys, and store state filter accelerate the sales-returns join.",,
Q8,"CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy, d_date_sk);; CREATE INDEX idx_date_dim_week_seq ON date_dim(d_week_seq, d_date_sk);; CREATE INDEX idx_catalog_sales_sold_date ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_catalog_sales_ship_date ON catalog_sales(cs_ship_date_sk);; CREATE INDEX idx_catalog_sales_item ON catalog_sales(cs_item_sk);; CREATE INDEX idx_catalog_sales_bill_cdemo ON catalog_sales(cs_bill_cdemo_sk);; CREATE INDEX idx_inventory_item_date ON inventory(inv_item_sk, inv_date_sk);; CREATE INDEX idx_inventory_warehouse ON inventory(inv_warehouse_sk, inv_item_sk, inv_date_sk);; CREATE INDEX idx_customer_demographics_marital_education ON customer_demographics(cd_marital_status, cd_education_status, cd_demo_sk);; CREATE INDEX idx_household_demographics_buy_potential ON household_demographics(hd_buy_potential, hd_demo_sk);; CREATE INDEX idx_item_category ON item(i_category, i_item_sk);","Indexes on inventory item/date, catalog_sales FKs, week_seq, demographics, and item category improve this complex join.",,
Q9,"CREATE INDEX idx_customer_addr ON customer(c_current_addr_sk);; CREATE INDEX idx_customer_cdemo ON customer(c_current_cdemo_sk);; CREATE INDEX idx_customer_hdemo ON customer(c_current_hdemo_sk);; CREATE INDEX idx_customer_address_city ON customer_address(ca_city, ca_address_sk);; CREATE INDEX idx_household_demographics_income_band ON household_demographics(hd_income_band_sk, hd_demo_sk);; CREATE INDEX idx_store_returns_cdemo ON store_returns(sr_cdemo_sk);; CREATE INDEX idx_income_band_bounds ON income_band(ib_lower_bound, ib_upper_bound, ib_income_band_sk);","Indexes on customer FK columns, address city, income band bounds, and store_returns cdemo accelerate lookup joins.",,
Q10,"CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy, d_date_sk);; CREATE INDEX idx_web_sales_sold_date ON web_sales(ws_sold_date_sk);; CREATE INDEX idx_web_sales_item ON web_sales(ws_item_sk);; CREATE INDEX idx_web_sales_web_page ON web_sales(ws_web_page_sk);; CREATE INDEX idx_web_returns_refunded_cdemo ON web_returns(wr_refunded_cdemo_sk);; CREATE INDEX idx_web_returns_returning_cdemo ON web_returns(wr_returning_cdemo_sk);; CREATE INDEX idx_web_returns_refunded_addr ON web_returns(wr_refunded_addr_sk);; CREATE INDEX idx_web_returns_reason ON web_returns(wr_reason_sk);; CREATE INDEX idx_customer_demographics_marital_education ON customer_demographics(cd_marital_status, cd_education_status, cd_demo_sk);; CREATE INDEX idx_customer_address_state ON customer_address(ca_state, ca_address_sk);",Indexes on web_returns FK columns and customer_demographics filter columns speed up the dual-cdemo join pattern.,,
