query_id,source_template,complexity_tier
Q1,spj/query013_spj,Medium
Q2,spj/query018_spj,Medium
Q3,spj/query019_spj,Medium
Q4,spj/query025_spj,Medium
Q5,spj/query027_spj,Medium
Q6,spj/query040_spj,Medium
Q7,spj/query050_spj,Medium
Q8,spj/query072_spj,Medium
Q9,spj/query084_spj,Medium
Q10,spj/query085_spj,Medium
Q11,spj/query091_spj,Medium
Q12,spj/query099_spj,Medium
Q13,spj/query100_spj,Medium
Q14,spj/query101_spj,Medium
Q15,spj/query102_spj,Medium
Q16,agg/query013,Medium
Q17,agg/query018,Medium
Q18,agg/query019,Medium
Q19,agg/query025,Medium
Q20,agg/query027,Medium
Q21,agg/query040,Medium
Q22,agg/query050,Medium
Q23,agg/query072,Medium
Q24,agg/query084,Simple
Q25,agg/query085,Medium
Q26,agg/query091,Medium
Q27,agg/query099,Medium
Q28,agg/query100,Medium
Q29,agg/query101,Medium
Q30,agg/query102,Medium
Q31,multi_block/query001,Complex
Q32,multi_block/query010,Complex
Q33,multi_block/query014,Complex
Q34,multi_block/query023,Complex
Q35,multi_block/query030,Complex
Q36,multi_block/query031,Complex
Q37,multi_block/query032,Complex
Q38,multi_block/query038,Complex
Q39.1,multi_block/query039,Complex
Q39.2,multi_block/query039,Complex
Q40,multi_block/query054,Complex
Q41,multi_block/query058,Complex
Q42,multi_block/query059,Complex
Q43,multi_block/query064,Complex
Q44,multi_block/query065,Complex
Q45,multi_block/query069,Complex
Q46,multi_block/query075,Complex
Q47,multi_block/query080,Complex
Q48,multi_block/query081,Complex
Q49,multi_block/query083,Complex
Q50,multi_block/query087,Complex
Q51,multi_block/query092,Complex
Q52,multi_block/query094,Complex
