query_id,recommended_indexes,llm_reasoning_text,execution_time_ms_after,improvement_vs_baseline
Q1,CREATE INDEX idx_store_returns_date_sk ON store_returns(sr_returned_date_sk);; CREATE INDEX idx_store_returns_store_sk ON store_returns(sr_store_sk);; CREATE INDEX idx_store_returns_customer_sk ON store_returns(sr_customer_sk);; CREATE INDEX idx_date_dim_year ON date_dim(d_year);; CREATE INDEX idx_store_state ON store(s_state);,Indexes speed up joining store_returns to date_dim on d_year and filtering store by s_state.,2.793,-2170.7%
Q2,CREATE INDEX idx_web_sales_date_sk ON web_sales(ws_sold_date_sk);; CREATE INDEX idx_catalog_sales_date_sk ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_date_dim_year ON date_dim(d_year);; CREATE INDEX idx_date_dim_week_seq ON date_dim(d_week_seq);,Indexes on sold_date_sk and d_year/d_week_seq accelerate date joins for weekly sales aggregation.,2779.823,-1865553.0%
Q3,"CREATE INDEX idx_store_sales_date_sk ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_item_sk ON store_sales(ss_item_sk);; CREATE INDEX idx_item_manufact_id ON item(i_manufact_id);; CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy);","Indexes allow fast filtering on manufacturer and month, reducing scan costs on large tables.",102.62,-176831.0%
Q4,CREATE INDEX idx_store_sales_customer_sk ON store_sales(ss_customer_sk);; CREATE INDEX idx_store_sales_date_sk ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_catalog_sales_bill_customer_sk ON catalog_sales(cs_bill_customer_sk);; CREATE INDEX idx_catalog_sales_date_sk ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_web_sales_bill_customer_sk ON web_sales(ws_bill_customer_sk);; CREATE INDEX idx_web_sales_date_sk ON web_sales(ws_sold_date_sk);; CREATE INDEX idx_date_dim_year ON date_dim(d_year);,Indexes on customer keys and date keys accelerate the large multi-channel year_total CTE joins.,120000,-746307.9%
Q5,CREATE INDEX idx_store_sales_store_sk ON store_sales(ss_store_sk);; CREATE INDEX idx_store_sales_date_sk ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_returns_date_sk ON store_returns(sr_returned_date_sk);; CREATE INDEX idx_catalog_sales_date_sk ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_catalog_returns_date_sk ON catalog_returns(cr_returned_date_sk);; CREATE INDEX idx_web_sales_date_sk ON web_sales(ws_sold_date_sk);; CREATE INDEX idx_web_returns_date_sk ON web_returns(wr_returned_date_sk);; CREATE INDEX idx_date_dim_date ON date_dim(d_date);,Indexes on date_sk columns and d_date enable efficient date range filtering across all channels.,1056.015,-493365.0%
Q6,"CREATE INDEX idx_customer_current_addr_sk ON customer(c_current_addr_sk);; CREATE INDEX idx_store_sales_customer_sk ON store_sales(ss_customer_sk);; CREATE INDEX idx_store_sales_date_sk ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_item_sk ON store_sales(ss_item_sk);; CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy);; CREATE INDEX idx_item_category ON item(i_category);; CREATE INDEX idx_customer_address_state ON customer_address(ca_state);","Indexes support address-to-customer join, date month filtering, and item category subquery lookups.",32742.918,-20592930.2%
Q7,"CREATE INDEX idx_store_sales_date_sk ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_item_sk ON store_sales(ss_item_sk);; CREATE INDEX idx_store_sales_cdemo_sk ON store_sales(ss_cdemo_sk);; CREATE INDEX idx_store_sales_promo_sk ON store_sales(ss_promo_sk);; CREATE INDEX idx_date_dim_year ON date_dim(d_year);; CREATE INDEX idx_customer_demographics_gender_marital_edu ON customer_demographics(cd_gender, cd_marital_status, cd_education_status);; CREATE INDEX idx_promotion_channel ON promotion(p_channel_email, p_channel_event);",Composite indexes on demographics and promotion channels reduce rows before joining store_sales.,1749.306,-2821361.3%
Q8,"CREATE INDEX idx_store_sales_date_sk ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_store_sk ON store_sales(ss_store_sk);; CREATE INDEX idx_date_dim_qoy_year ON date_dim(d_qoy, d_year);; CREATE INDEX idx_customer_address_zip ON customer_address(ca_zip);; CREATE INDEX idx_customer_current_addr_sk ON customer(c_current_addr_sk);","Indexes on zip, store, and date columns support the complex zip-based subquery and date range filter.",414.646,-103303.0%
Q9,CREATE INDEX idx_store_sales_quantity ON store_sales(ss_quantity);,An index on ss_quantity enables fast range scans for the five quantity bucket subqueries.,4617.812,-5497295.2%
Q10,"CREATE INDEX idx_customer_current_addr_sk ON customer(c_current_addr_sk);; CREATE INDEX idx_customer_cdemo_sk ON customer(c_current_cdemo_sk);; CREATE INDEX idx_customer_address_county ON customer_address(ca_county);; CREATE INDEX idx_store_sales_customer_sk ON store_sales(ss_customer_sk);; CREATE INDEX idx_store_sales_date_sk ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_web_sales_bill_customer_sk ON web_sales(ws_bill_customer_sk);; CREATE INDEX idx_web_sales_date_sk ON web_sales(ws_sold_date_sk);; CREATE INDEX idx_catalog_sales_ship_customer_sk ON catalog_sales(cs_ship_customer_sk);; CREATE INDEX idx_catalog_sales_date_sk ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy);",Indexes on customer FKs and county enable efficient existence checks across all three sales channels.,1.177,-176.3%
