query_id,execution_time_ms,query_plan_text
s1,37.855,Aggregate  (cost=2944.89..2944.90 rows=1 width=8) (actual time=37.172..37.184 rows=1 loops=1) |   ->  Hash Join  (cost=1305.12..2745.27 rows=79851 width=0) (actual time=16.505..34.488 rows=79851 loops=1) |         Hash Cond: (b.userid = u.id) |         ->  Seq Scan on badges b  (cost=0.00..1230.51 rows=79851 width=4) (actual time=0.011..7.370 rows=79851 loops=1) |         ->  Hash  (cost=801.06..801.06 rows=40325 width=4) (actual time=15.035..15.036 rows=40325 loops=1) |               Buckets: 65536  Batches: 1  Memory Usage: 1930kB |               ->  Seq Scan on users u  (cost=0.00..801.06 rows=40325 width=4) (actual time=0.078..5.996 rows=40325 loops=1) |                     Filter: (upvotes >= 0) | Planning Time: 2.911 ms | Execution Time: 37.855 ms
s2,1292.053,"Finalize Aggregate  (cost=128518.51..128518.52 rows=1 width=8) (actual time=729.596..739.267 rows=1 loops=1) |   ->  Gather  (cost=128518.40..128518.51 rows=1 width=8) (actual time=728.667..739.253 rows=2 loops=1) |         Workers Planned: 1 |         Workers Launched: 1 |         ->  Partial Aggregate  (cost=127518.40..127518.41 rows=1 width=8) (actual time=702.297..702.298 rows=1 loops=2) |               ->  Hash Join  (cost=2425.71..111255.80 rows=6505039 width=0) (actual time=59.573..453.377 rows=5110307 loops=2) |                     Hash Cond: (c.userid = b.userid) |                     ->  Parallel Seq Scan on comments c  (cost=0.00..2625.65 rows=79333 width=4) (actual time=32.898..46.157 rows=67444 loops=2) |                           Filter: (score = 0) |                           Rows Removed by Filter: 19709 |                     ->  Hash  (cost=1430.14..1430.14 rows=79646 width=4) (actual time=24.534..24.534 rows=79633 loops=2) |                           Buckets: 131072  Batches: 1  Memory Usage: 3824kB |                           ->  Seq Scan on badges b  (cost=0.00..1430.14 rows=79646 width=4) (actual time=0.041..7.398 rows=79633 loops=2) |                                 Filter: (date <= '2014-09-11 14:33:06'::timestamp without time zone) |                                 Rows Removed by Filter: 218 | Planning Time: 0.532 ms | JIT: |   Functions: 32 |   Options: Inlining false, Optimization false, Expressions true, Deforming true |   Timing: Generation 4.626 ms, Inlining 0.000 ms, Optimization 8.323 ms, Emission 57.508 ms, Total 70.456 ms | Execution Time: 1292.053 ms"
s3,359.852,"Finalize Aggregate  (cost=320733.01..320733.02 rows=1 width=8) (actual time=359.258..359.412 rows=1 loops=1) |   ->  Gather  (cost=320732.89..320733.00 rows=1 width=8) (actual time=359.249..359.406 rows=2 loops=1) |         Workers Planned: 1 |         Workers Launched: 1 |         ->  Partial Aggregate  (cost=319732.89..319732.90 rows=1 width=8) (actual time=185.884..185.885 rows=1 loops=2) |               ->  Merge Join  (cost=19188.25..276646.42 rows=17234591 width=0) (actual time=37.200..143.978 rows=729038 loops=2) |                     Merge Cond: (c.userid = ph.userid) |                     ->  Sort  (cost=9081.63..9279.96 rows=79333 width=4) (actual time=19.885..22.308 rows=66356 loops=2) |                           Sort Key: c.userid |                           Sort Method: quicksort  Memory: 4096kB |                           Worker 0:  Sort Method: quicksort  Memory: 25kB |                           ->  Parallel Seq Scan on comments c  (cost=0.00..2625.65 rows=79333 width=4) (actual time=2.274..11.909 rows=67444 loops=2) |                                 Filter: (score = 0) |                                 Rows Removed by Filter: 19709 |                     ->  Sort  (cost=9383.60..9492.42 rows=43528 width=4) (actual time=34.524..85.883 rows=1465994 loops=1) |                           Sort Key: ph.userid |                           Sort Method: quicksort  Memory: 1537kB |                           ->  Seq Scan on posthistory ph  (cost=0.00..6029.84 rows=43528 width=4) (actual time=0.210..28.658 rows=42921 loops=1) |                                 Filter: (posthistorytypeid = 1) |                                 Rows Removed by Filter: 260266 | Planning Time: 0.223 ms | JIT: |   Functions: 32 |   Options: Inlining false, Optimization false, Expressions true, Deforming true |   Timing: Generation 2.039 ms, Inlining 0.000 ms, Optimization 1.120 ms, Emission 16.520 ms, Total 19.679 ms | Execution Time: 359.852 ms"
s4,375.433,"Finalize Aggregate  (cost=403921.05..403921.06 rows=1 width=8) (actual time=375.004..375.107 rows=1 loops=1) |   ->  Gather  (cost=403920.94..403921.05 rows=1 width=8) (actual time=374.995..375.101 rows=2 loops=1) |         Workers Planned: 1 |         Workers Launched: 1 |         ->  Partial Aggregate  (cost=402920.94..402920.95 rows=1 width=8) (actual time=190.395..190.396 rows=1 loops=2) |               ->  Merge Join  (cost=21890.63..348297.76 rows=21849273 width=0) (actual time=26.105..146.994 rows=854890 loops=2) |                     Merge Cond: (c.userid = ph.userid) |                     ->  Sort  (cost=10902.92..11159.25 rows=102532 width=4) (actual time=14.190..17.139 rows=85736 loops=2) |                           Sort Key: c.userid |                           Sort Method: quicksort  Memory: 4096kB |                           Worker 0:  Sort Method: quicksort  Memory: 25kB |                           ->  Parallel Seq Scan on comments c  (cost=0.00..2369.32 rows=102532 width=4) (actual time=2.063..7.582 rows=87152 loops=2) |                     ->  Sort  (cost=10071.60..10178.34 rows=42697 width=4) (actual time=23.745..81.912 rows=1717323 loops=1) |                           Sort Key: ph.userid |                           Sort Method: quicksort  Memory: 1537kB |                           ->  Seq Scan on posthistory ph  (cost=0.00..6787.80 rows=42697 width=4) (actual time=0.247..19.131 rows=42308 loops=1) |                                 Filter: ((creationdate >= '2010-09-14 11:59:07'::timestamp without time zone) AND (posthistorytypeid = 1)) |                                 Rows Removed by Filter: 260879 | Planning Time: 0.125 ms | JIT: |   Functions: 28 |   Options: Inlining false, Optimization false, Expressions true, Deforming true |   Timing: Generation 0.902 ms, Inlining 0.000 ms, Optimization 0.493 ms, Emission 9.625 ms, Total 11.020 ms | Execution Time: 375.433 ms"
s5,1005.384,"Finalize Aggregate  (cost=125111.49..125111.50 rows=1 width=8) (actual time=1004.737..1004.813 rows=1 loops=1) |   ->  Gather  (cost=125111.37..125111.48 rows=1 width=8) (actual time=1004.727..1004.807 rows=2 loops=1) |         Workers Planned: 1 |         Workers Launched: 1 |         ->  Partial Aggregate  (cost=124111.37..124111.38 rows=1 width=8) (actual time=749.737..749.738 rows=1 loops=2) |               ->  Merge Join  (cost=40529.25..112233.92 rows=4750982 width=0) (actual time=78.603..569.724 rows=3745952 loops=2) |                     Merge Cond: (v.userid = c.userid) |                     ->  Sort  (cost=23670.50..24152.94 rows=192979 width=4) (actual time=37.446..38.645 rows=17396 loops=2) |                           Sort Key: v.userid |                           Sort Method: external merge  Disk: 1144kB |                           Worker 0:  Sort Method: quicksort  Memory: 3073kB |                           ->  Parallel Seq Scan on votes v  (cost=0.00..4089.79 rows=192979 width=4) (actual time=3.837..19.992 rows=164032 loops=2) |                     ->  Materialize  (cost=16858.68..17533.01 rows=134866 width=4) (actual time=41.067..176.827 rows=3798828 loops=2) |                           ->  Sort  (cost=16858.68..17195.85 rows=134866 width=4) (actual time=41.061..45.929 rows=132704 loops=2) |                                 Sort Key: c.userid |                                 Sort Method: quicksort  Memory: 4096kB |                                 Worker 0:  Sort Method: quicksort  Memory: 4096kB |                                 ->  Seq Scan on comments c  (cost=0.00..3522.81 rows=134866 width=4) (actual time=0.031..18.037 rows=134887 loops=2) |                                       Filter: (score = 0) |                                       Rows Removed by Filter: 39418 | Planning Time: 0.207 ms | JIT: |   Functions: 28 |   Options: Inlining false, Optimization false, Expressions true, Deforming true |   Timing: Generation 0.543 ms, Inlining 0.000 ms, Optimization 0.380 ms, Emission 7.401 ms, Total 8.324 ms | Execution Time: 1005.384 ms"
s6,95.789,Aggregate  (cost=39186.93..39186.94 rows=1 width=8) (actual time=95.765..95.766 rows=1 loops=1) |   ->  Merge Join  (cost=13825.96..35593.48 rows=1437381 width=0) (actual time=23.234..79.406 rows=428612 loops=1) |         Merge Cond: (p.owneruserid = b.userid) |         ->  Sort  (cost=5913.37..6018.63 rows=42103 width=4) (actual time=11.694..13.234 rows=41395 loops=1) |               Sort Key: p.owneruserid |               Sort Method: quicksort  Memory: 1537kB |               ->  Seq Scan on posts p  (cost=0.00..2679.52 rows=42103 width=4) (actual time=0.013..8.081 rows=42172 loops=1) |                     Filter: ((answercount >= 0) AND (answercount <= 4) AND (commentcount >= 0) AND (commentcount <= 17)) |                     Rows Removed by Filter: 49804 |         ->  Sort  (cost=7912.07..8111.14 rows=79626 width=4) (actual time=11.535..28.353 rows=443864 loops=1) |               Sort Key: b.userid |               Sort Method: quicksort  Memory: 3073kB |               ->  Seq Scan on badges b  (cost=0.00..1430.14 rows=79626 width=4) (actual time=0.005..4.557 rows=79598 loops=1) |                     Filter: (date <= '2014-09-11 08:55:52'::timestamp without time zone) |                     Rows Removed by Filter: 253 | Planning Time: 0.176 ms | Execution Time: 95.789 ms
s7,74.358,Finalize Aggregate  (cost=84774.15..84774.16 rows=1 width=8) (actual time=72.321..74.291 rows=1 loops=1) |   ->  Gather  (cost=84774.04..84774.15 rows=1 width=8) (actual time=71.924..74.283 rows=2 loops=1) |         Workers Planned: 1 |         Workers Launched: 1 |         ->  Partial Aggregate  (cost=83774.04..83774.05 rows=1 width=8) (actual time=66.014..66.017 rows=1 loops=2) |               ->  Hash Join  (cost=3938.67..73996.71 rows=3910933 width=0) (actual time=24.518..54.313 rows=349651 loops=2) |                     Hash Cond: (c.userid = p.owneruserid) |                     ->  Parallel Seq Scan on comments c  (cost=0.00..2369.32 rows=102532 width=4) (actual time=0.009..4.450 rows=87152 loops=2) |                     ->  Hash  (cost=3802.22..3802.22 rows=10916 width=4) (actual time=24.459..24.460 rows=10826 loops=2) |                           Buckets: 16384  Batches: 1  Memory Usage: 509kB |                           ->  Hash Join  (cost=3580.05..3802.22 rows=10916 width=4) (actual time=20.368..23.370 rows=10972 loops=2) |                                 Hash Cond: (pl.postid = p.id) |                                 ->  Seq Scan on postlinks pl  (cost=0.00..193.02 rows=11102 width=4) (actual time=0.015..0.621 rows=11102 loops=2) |                                 ->  Hash  (cost=2449.58..2449.58 rows=90438 width=8) (actual time=20.252..20.253 rows=90764 loops=2) |                                       Buckets: 131072  Batches: 1  Memory Usage: 4565kB |                                       ->  Seq Scan on posts p  (cost=0.00..2449.58 rows=90438 width=8) (actual time=0.041..9.205 rows=90764 loops=2) |                                             Filter: ((commentcount <= 18) AND (creationdate >= '2010-07-23 07:27:31'::timestamp without time zone) AND (creationdate <= '2014-09-09 01:43:00'::timestamp without time zone)) |                                             Rows Removed by Filter: 1212 | Planning Time: 0.298 ms | Execution Time: 74.358 ms
s8,54.778,Finalize Aggregate  (cost=58524.13..58524.14 rows=1 width=8) (actual time=52.929..54.736 rows=1 loops=1) |   ->  Gather  (cost=58524.02..58524.13 rows=1 width=8) (actual time=52.633..54.732 rows=2 loops=1) |         Workers Planned: 1 |         Workers Launched: 1 |         ->  Partial Aggregate  (cost=57524.02..57524.03 rows=1 width=8) (actual time=47.581..47.583 rows=1 loops=2) |               ->  Hash Join  (cost=3727.43..51097.91 rows=2570446 width=0) (actual time=18.654..39.797 rows=240710 loops=2) |                     Hash Cond: (c.userid = p.owneruserid) |                     ->  Parallel Seq Scan on comments c  (cost=0.00..2625.65 rows=79333 width=4) (actual time=0.013..4.951 rows=67444 loops=2) |                           Filter: (score = 0) |                           Rows Removed by Filter: 19709 |                     ->  Hash  (cost=3611.52..3611.52 rows=9273 width=4) (actual time=18.596..18.597 rows=9324 loops=2) |                           Buckets: 16384  Batches: 1  Memory Usage: 456kB |                           ->  Hash Join  (cost=3337.97..3611.52 rows=9273 width=4) (actual time=16.081..17.851 rows=9405 loops=2) |                                 Hash Cond: (pl.postid = p.id) |                                 ->  Seq Scan on postlinks pl  (cost=0.00..248.53 rows=9533 width=4) (actual time=0.037..0.694 rows=9480 loops=2) |                                       Filter: ((creationdate >= '2011-07-09 22:35:44'::timestamp without time zone) AND (linktypeid = 1)) |                                       Rows Removed by Filter: 1622 |                                 ->  Hash  (cost=2219.64..2219.64 rows=89466 width=8) (actual time=15.963..15.964 rows=89551 loops=2) |                                       Buckets: 131072  Batches: 1  Memory Usage: 4518kB |                                       ->  Seq Scan on posts p  (cost=0.00..2219.64 rows=89466 width=8) (actual time=0.094..7.773 rows=89551 loops=2) |                                             Filter: ((creationdate >= '2010-09-06 00:58:21'::timestamp without time zone) AND (creationdate <= '2014-09-12 10:02:21'::timestamp without time zone)) |                                             Rows Removed by Filter: 2425 | Planning Time: 0.202 ms | Execution Time: 54.778 ms
s9,132.616,Finalize Aggregate  (cost=15813.38..15813.39 rows=1 width=8) (actual time=130.322..132.568 rows=1 loops=1) |   ->  Gather  (cost=15813.27..15813.38 rows=1 width=8) (actual time=129.689..132.561 rows=2 loops=1) |         Workers Planned: 1 |         Workers Launched: 1 |         ->  Partial Aggregate  (cost=14813.27..14813.28 rows=1 width=8) (actual time=125.372..125.375 rows=1 loops=2) |               ->  Parallel Hash Join  (cost=7288.76..13968.56 rows=337886 width=0) (actual time=50.633..112.238 rows=349106 loops=2) |                     Hash Cond: (ph.postid = p.id) |                     ->  Parallel Seq Scan on posthistory ph  (cost=0.00..4023.45 rows=178345 width=4) (actual time=0.004..9.424 rows=151594 loops=2) |                     ->  Parallel Hash  (cost=6007.48..6007.48 rows=102502 width=8) (actual time=50.098..50.100 rows=86704 loops=2) |                           Buckets: 262144  Batches: 1  Memory Usage: 8864kB |                           ->  Hash Join  (cost=3369.00..6007.48 rows=102502 width=8) (actual time=15.136..34.061 rows=86704 loops=2) |                                 Hash Cond: (c.postid = p.id) |                                 ->  Parallel Seq Scan on comments c  (cost=0.00..2369.32 rows=102532 width=4) (actual time=0.010..4.649 rows=87152 loops=2) |                                 ->  Hash  (cost=2219.64..2219.64 rows=91949 width=4) (actual time=15.044..15.045 rows=91948 loops=2) |                                       Buckets: 131072  Batches: 1  Memory Usage: 4257kB |                                       ->  Seq Scan on posts p  (cost=0.00..2219.64 rows=91949 width=4) (actual time=0.011..7.526 rows=91948 loops=2) |                                             Filter: ((commentcount >= 0) AND (commentcount <= 25)) |                                             Rows Removed by Filter: 28 | Planning Time: 0.154 ms | Execution Time: 132.616 ms
s10,68.708,Finalize Aggregate  (cost=13784.32..13784.33 rows=1 width=8) (actual time=66.682..68.666 rows=1 loops=1) |   ->  Gather  (cost=13784.21..13784.32 rows=1 width=8) (actual time=66.393..68.659 rows=2 loops=1) |         Workers Planned: 1 |         Workers Launched: 1 |         ->  Partial Aggregate  (cost=12784.21..12784.22 rows=1 width=8) (actual time=61.222..61.224 rows=1 loops=2) |               ->  Hash Join  (cost=4429.06..7828.24 rows=1982389 width=0) (actual time=15.121..48.512 rows=390342 loops=2) |                     Hash Cond: (c.userid = u.id) |                     ->  Parallel Seq Scan on comments c  (cost=0.00..2881.99 rows=100963 width=4) (actual time=0.027..6.116 rows=86078 loops=2) |                           Filter: ((creationdate >= '2010-08-05 00:36:02'::timestamp without time zone) AND (creationdate <= '2014-09-08 16:50:49'::timestamp without time zone)) |                           Rows Removed by Filter: 1074 |                     ->  Hash  (cost=4358.71..4358.71 rows=5628 width=8) (actual time=15.056..15.058 rows=11630 loops=2) |                           Buckets: 16384 (originally 8192)  Batches: 1 (originally 1)  Memory Usage: 583kB |                           ->  Hash Join  (cost=1204.31..4358.71 rows=5628 width=8) (actual time=5.812..13.865 rows=11630 loops=2) |                                 Hash Cond: (p.owneruserid = u.id) |                                 ->  Seq Scan on posts p  (cost=0.00..3139.40 rows=5714 width=4) (actual time=0.013..5.852 rows=11847 loops=2) |                                       Filter: ((viewcount >= 0) AND (viewcount <= 2897) AND (commentcount >= 0) AND (commentcount <= 16) AND (favoritecount >= 0) AND (favoritecount <= 10)) |                                       Rows Removed by Filter: 80129 |                                 ->  Hash  (cost=700.25..700.25 rows=40325 width=4) (actual time=5.746..5.746 rows=40325 loops=2) |                                       Buckets: 65536  Batches: 1  Memory Usage: 1930kB |                                       ->  Seq Scan on users u  (cost=0.00..700.25 rows=40325 width=4) (actual time=0.005..2.230 rows=40325 loops=2) | Planning Time: 0.234 ms | Execution Time: 68.708 ms
